S1,S2,SCORE
A man is leading the race,A few men are running competitions outside,3.1
A man is confidently slicing a carrot with a knife,A child is playing with a water spout outdoors and the rest of his family is watching,1
Two women are wearing bikinis and are walking on the sand,Two women are wearing bikinis on the beach which is sandy,4.4
The drums are being played by a man,A man is playing the drums,5
A man is riding a horse,A horse is being ridden by a woman,3.615
A boy is filling a pitcher with water,A woman is collecting tap water in a mug,2.3
The white dogs aren't looking curiously at the black llama,The white dogs are looking curiously at the black llama,3.7
A seabird is slowly flying over some rocks,A large duck is flying over a rocky stream,3.8
Three men and a woman are standing still for a picture,Three men and a woman are posing for a picture,4.55
No motorcycle racer is riding a red and black bike,A man is leaning on a racing motorcycle,2.7
A grey dog is bouncing a soccer ball on its head on a lawn,A dog with a blue collar is playing with the ball outside,3.5
A dog is barking at a ball,An animal is barking at a ball,4.2
People are singing and a clown is dancing,A clown is singing and people are dancing,3.4
A woman is riding a horse,There is no man shooting guns,1
There is no dog running and carrying an object in its mouth,A dog is chasing another and is holding a stick in its mouth,3.1
The puppy is playing with a plastic container,The puppy is playing with a container made of plastic,5
A big white dog is running across a lawn,A brown and white dog with a brown and black bandanna is running very fast,3.5
A person is strongly whisking eggs in a bowl,A strong person is leaving the whisk in the bowl near the eggs,3.6
A man is preparing some dish,The woman is not slicing an onion with a knife,1.6
Two people are stopping on a motorcycle,Two people are riding a motorcycle,3.465
A couple of white dogs are running and jumping along a beach,Two white dogs are running and jumping along a beach,4.9
A person is walking in the snow at the edge of a mountain,"A man is standing at dusk on an almost pristine, snowy road, that is lit only by headlights",2.4
A dog with a golden coat is swimming clumsily through the water,A dog with a golden coat is swimming through the water,4.3
A woman is riding on an elephant,A man is opening a soda and drinking it,1.1
A man is standing on a dirt hill next to a black jeep,A man is standing on a dirt hill next to a black car,4.3
A young couple is lying on a couch together,A young couple is lying in bed,3.4
A man and a woman are speaking,A woman is cracking eggs,1.4
A group of football players is running in the field,The crowd is watching the football at the game,2.7
The big surfer is riding and waving,The surfer is riding a big wave,3.3
Two people wearing helmets are riding over the yellow and white flowers,Two adults are not standing on a scooter in a field of yellow flowers,2.6
A child in a red outfit is dangerously jumping on a trampoline,A child in a red outfit is jumping on a trampoline,4.3
There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,3.5
A boy is running away from the fishing line,There is no boy hanging a fishing rod and running in front of a fish,3.2
The kids are wearing bathing suits and water is splashing around,Children in swimming suits are playing in the water,4.2
A man from the wilderness is on a walking path,The man is walking along a path through the wilderness,4.1
"The girl is not wearing a white shirt and a pink skirt, and is not standing in front of a house","The girl is wearing a white shirt and a pink skirt, and is standing in front of a house",4.2
A man is opening a small package that contains headphones,A man is singing and playing the guitar,1.5
A man is speaking,A man is silent,3.3
One man is turning on the microwave,One man is powering the microwave,4.5
The man is dropping sliced cucumbers into water,There is no man cooking a snake,1.7
There is no woman cutting an onion,A man is cutting onions,3.7
Some bells are ringing near a cook slicing peppers,The person is dicing up a pepper which is orange,2.3
A man is shaking a drink,A man is mixing,3.8
The flute is being played by one man,A man is playing the guitar loudly,3.4
A brown puppy is biting a stick,A brown puppy is gnawing a metallic post that is stuck in the ground,2.9
The woman is picking up the kangaroo,A kangaroo is picking up the woman's baby,2.3
The man is driving a car,The man has a window of time to clean himself,1.6
The woman is handling a frog,There is no man holding a frog,3.2
The cat is playing with a watermelon,The cat isn't playing with a watermelon,4
A woman is being massaged by a man,A man is massaging a woman,4.9
A man is passionately playing a guitar,The singer is playing the guitar in front of a person,3.9
A woman is running on the beach with a dog on a leash,A woman in a bikini is pulling a dog on a leash at the beach,4
A dog is standing on a mountain,A white dog is standing on a grassy hillside,3.5
Two dogs are playing together on the grass,A big dog and a small white dog are walking past each other,3.1
A child is holding a camera in front of his face,There is no child holding a camera in front of his face,3.7
The guitar is being played by a lady,The person is practicing the guitar,4.1
A little dog is slowing down and the owner is quitting chasing it,A little dog is sprinting and its owner is trying to catch it,3.9
A woman in a shirt dyed in black is sitting next to a fluorescent green bag,A woman in a black shirt is sitting next to a fluorescent green bag,4.9
The man is cutting the tape on the box,The man is not cutting the tape on the box,3.5
A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,"There is no woman wearing a blue shirt with a white vest and a white cap, talking and marching",4.3
A dog with a muzzle and a blue jacket is running around the yard,A dog with a blue blanket is running through the grass,3.7
Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,3.2
The woman is playing the guitar,The man is playing the guitar,3.3
The man is cracking eggs into a bowl,The lady is cracking an egg into a bowl,3.2
Someone is checking the email,Someone is reading the email,4.4
The woman is poking a potato,The woman is not poking holes in the potato,2.4
A person is holding a skunk,A person is frying meat in a pan,1.3
A dog is jumping high into the air in the country,A dog is jumping into the air in the country,4.5
A bride with a white veil is looking down,A boy is looking down and wearing a wedding veil,3.1
A brown dog is running through a snowy path,A brown dog is running through a snowy trail,4.9
People are clustered around a bonfire at night,Several people are gathered around a fire at night,4.8
The chef is carefully drying the oil from the pan,The chef is carefully pouring some oil into a pan,3.5
The windows are being cleaned by a man,The man has a window of time to clean himself,1.75
A young boy with a heart tank top is raising his hands as he is sliding,The man is playing the flute,1
The windows are being cleaned by a man,The man isn't driving a car,1.7
People are not playing cricket,People are playing cricket,4
A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,3
A person is not making a bed,A person is making a bed,3
A dog is jumping at a shiny blue soccer ball in a field of dry leaves,A dog is jumping at dry leaves in a field of shiny blue soccer balls,3.5
The rhino is being fed on the grass,The young boys are playing outdoors and the man is smiling nearby,1.3
The man is riding the horse,The girl is spraying the plants with water,1.3
A homeless man is holding up a sign and is pitifully begging for money,A man in a big city is holding a sign and begging for money,4.1
The man is typing on a machine used for stenography,A man is typing on a machine used for stenography,5
A little boy is playing a guitar,A guitar is being played by a boy,4.7
A man is drawing on a digital dry erase board,A man is drawing on a board,4.6
"Three young men are running, jumping and kicking near a vending machine",Three men are jumping off a tall wall,2.8
A man is not dancing,A man is dancing,3.8
A girl is making a flute which is not to be played,One woman is playing a flute,2.7
A boy is standing next to the opening of a fountain,A boy in a swimsuit is sitting on top of a circular fountain,3.2
A man is holding a mask in his raised hand,A mask is being held by a man in his raised hand,5
A man and a woman are walking through the woods,A man and a woman are standing still in the woods,3.4
A small black dog is wearing a red collar and is in the leaves with a blue ball,A dog is jumping at a shiny blue soccer ball in a field of dry leaves,3.9
Two teenage girls are wearing fancy dresses at an event,A woman in a white dress and a woman in a blue dress are standing beside a stage,3.65
Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,4.3
The man is not playing the drums,The man is playing the drums,3.8
The woman is lovingly cooking something,The woman is cooking something,4.3
A lady is cutting up some meat,There is no lady cutting up some meat,3.1
A group of people is equipped with protective gear,A group of people is equipped with unprotective gear,3.5
Three people are driving four wheel ATVs in a field,Three people are driving ATVs,4.2
Two kids are sticking out blue and green colored tongues,Two young boys are wearing hats and sticking their colored tongues out,4.2
A man in a red shirt is doing a trick with the skateboard,A man in a red shirt is doing a trick with a skateboard,4.9
A shirtless man is escorting a horse that is pulling a carriage along a road,A shirtless man is leading a horse that is pulling a carriage,4.4
People at a drag race are looking at the flames that are coming out of the cars,The crowd is not watching two racing cars that are leaving the starting line,3.6
"A man with climbing equipment is hanging from a rock, which is vertical and white","A man with equipment used for climbing is hanging from a white, vertical rock.",4.8
Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,4.4
There is no woman chopping up an octopus,A woman is chopping up an octopus,3.4
A person is cutting a capsicum into pieces,Nobody is cutting a capsicum into pieces,3.7
The oriental lady is cutting a carrot into thin pieces,The oriental lady is cutting a carrot into pieces that are thin,5
The man and the child are kayaking through gentle waters,A man and a young boy are riding in a yellow kayak,3.8
A man is jumping into an empty swimming pool,A man is jumping into an empty pool,4.8
A woman is chopping a red onion,A woman is chopping an onion,4.5
One brown and black dog is running through the leaves,A dog in a colored coat is running across the yard,2.5
The people are not sitting on a bench in front of a restaurant,The people are sitting on a bench in front of a restaurant,3.5
The woman is penciling on eyeshadow,A woman is putting cosmetics on her eyelid,4.3
A man is sitting on a sidewalk,A man is standing next to a bus,2.7
Two kids are playing in a swimming pool with a green colored crocodile float,Two kids are pulling an inflatable crocodile out of a pool,3.7
A person is not quickly chopping mushrooms with a knife,A man is rapidly chopping some mushrooms with a knife,4
Some water is being drunk by a cat,A drunk man is unwarily watering a cat,2.8
A tiger is walking outside a cage,A tiger is walking around aimlessly,3.7
A toy train is striking a toy car,There is no toy train striking a toy car,3.1
A kitten is playing with a blue rope toy,A kitten is playing with a toy made of blue rope,4.8
The man is sprinkling cheese on the pizza,There is no man sprinkling cheese on the pizza,3.1
A little boy in a pink shirt is running under a tree in the desert,The little girl in a pink shirt is running under a tree in the desert,4.1
A parrot is speaking,There is no parrot speaking,3.7
The wave is being ridden by a surfer,A surfer is riding the wave,4.9
A tennis player with a green headband is missing the ball,A tennis player is lunging to the left,3
A man is pointing at a silver sedan,A man is in a parking lot and is playing tennis against a large wall,1.3
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,4.9
Some fish are swimming quickly,Some fish are swimming,4.5
A woman is frying fish,Fish is being cooked by a woman,4.5
A white horse is being ridden by a man in a blue cowboy hat,A man in a blue cowboy hat is riding a white horse,4.7
A man is dancing,A man is moving gracefully,3.5
A man is not playing a guitar,A man is playing a guitar,3.8
A couple is looking at a street guide,A couple is looking at a map,4.5
A man is playing a flute,A man is playing an electronic keyboard,2.7
A man is dancing upside-down on the ceiling,The man is dancing upside-down on the ceiling,5
A man is playing a flute,A flute is being played by a man,4.9
A man is eating a bowl of cereal,The man is eating cereal,4.8
A woman is skiing down a hill and over a red obstacle,A man is skiing down a hill and over a red obstacle,3.6
Two dogs and two people are walking in the woods,Two men with dogs are walking on a forest path,4.4
A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,A cat is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,3.2
The person is going into the water,The man is not going into the water,4.2
A man is holding a mask in his raised hand,There is no man dressed in black wearing an elaborate black mask,2.8
A man is playing a guitar,Someone is playing the guitar,4.6
The man is painting,A man is drawing,4.4
There is no squirrel spinning around in circles,A squirrel is running around in circles,4.2
A racer is leaning on a racing motorcycle,The motorcycle racer is riding a red and black bike,3.7
A couple is running towards the water,A man and a woman are running together and holding hands,3.6
The boy and the girl are cheerfully playing and wearing arm floats,A boy and a girl in swimsuits are wearing arm floats,4
A man is performing with a guitar,A man is playing a guitar,4.4
The picture of a man is being taken near a lake,A man is taking pictures of a lake,3.4
Some men are idling,Some men are playing rugby,2.5
A man in a elegant dress is being surrounded by photographers,A man in a suit is being surrounded by photographers,4.1
A man and two women in a darkened room are sitting at a table with candles,The group of people is sitting in a room which is dim,4.5
A basketball player is on the court floor and another one is grabbing the ball,There is no basketball player on the court floor and no one is grabbing the ball,3.2
Carrots are being sliced by a woman,A woman is cutting potatoes,2.1
A black sheep is standing near three white dogs,A black sheep is standing far from three white dogs,3.5
The panda bear is resting on the logs,A cute panda is lying down,3.8
A man is slowly folding a tortilla,A man is folding a tortilla,4.7
Someone is scratching the belly of an animal,There is no woman stroking a lemur,1.9
A man isn't tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,3
A person with a red hooded jacket and a black backpack is walking near a rocky wall,A person with a red hooded jacket and a black backpack is moving near a rocky wall,4.7
A brown and white dog is running through the river,A brown and white dog is running through the water,4.8
A woman is jumping with a bicycle,The helmeted girl is perching on a bike,2.8
A black dog and a small white and black dog are looking up at a kitchen countertop,A large dog and a small dog is standing on the kitchen counter and investigate,3.4
A woman is taking off eyeshadow,A woman is putting on eyeshadow,3.6
A man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,A woman is tapping her fingers,1
Boys are dancing in front of some people,Two men are doing a funny skit with a boxer in front of a crowd of people,2.2
A man is sitting on a train and resting his hand against his face,The man is sitting on the train and resting his hand against his face,4.9
Several boys are jumping on a trampoline,Several kids are jumping on a trampoline,4.6
 water from the faucet is being drunk by a yellow dog,The yellow dog is drinking water from a bottle,3.8
The piano is being played by someone,Someone is feeding an animal,1
The animal with big eyes is eating,A lemur is eating,4.1
A man is picking up a tree,A man is carrying a tree,4.3
A black dog is standing in shallow water,There is no black dog with a red collar putting its face in the water,3.1
A black dog is running across a rocky landscape,A black cat is walking along rocky terrain,2.8
The person is standing dangerously on white ice,A person is standing in a vast field of glacial ice,4
A man is crying,A man is screaming,3.1
A dog is playing with a toy,There is no dog eating a doll,2.8
A man is playing baseball with a flute,A man is playing soccer,1.965
A lone biker is jumping in the air,A man is jumping into an empty swimming pool,1.6
The man is sitting indoors,A shoeless woman is sitting on a blanket under a lavender umbrella,1.2
The men are not playing soccer,The men are playing soccer,3.9
A girl is looking on surprised from a front window in a house in Asia.,A girl is wearing a t-shirt and has her mouth open.,2.4
The bicyclist is riding on a city street,A woman is parking a blue bicycle and is wearing lots of riding helmets,2.4
A man on a bike is riding on the shore,A person is riding a bicycle in the sand beside the ocean,4
The woman isn't pouring oil into a skillet,The woman is pouring oil into a skillet,3.6
A man is singing into a microphone,A man is dancing in the rain,1.1
People are not riding and paddling a raft,People are riding and paddling a raft,3.6
A man on a motorcycle is riding on one wheel,The performer is tricking a person on a motorcycle,2.8
A woman is slicing a tomato,A woman is cutting a tomato,4.9
A blonde boy in green is standing on a swing,A little girl with blond hair is smiling and sitting on a swing,2.7
One man is climbing a rock wall and another man is holding a rope,One man is climbing a wall made of rock and another man is holding a rope,4.9
People in costumes are sitting in the street,Two people dressed in green and red costumes are outside on the sidewalk,4.1
A yellow dog is drinking water from the faucet,The yellow dog is drinking water from a pot,3.3
A wild deer is jumping a fence,A deer is jumping over a fence,4.5
A woman is dancing in a cage,The lady is dancing,4.1
The man is not standing on a rocky mountain and gray clouds are not in the background,A topless person with a back pack is in front of a pile of rocks and clouds are in the background,2.3
Two kids are not sticking out blue and green colored tongues,Two kids are sticking out blue and green colored tongues,3.8
The man is slicing bread,The woman is not slicing herbs,2.9
The man in a grey t-shirt is sitting on a rock in front of the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,3
A man is sharpening a knife,A man is carrying a woman,1.2
A man is riding a mechanical bull,A person is riding a mechanical bull,4.5
A woman is brushing her feet,A woman is not chopping an onion,1.3
There is no person peeling a potato,A person is frying some food,2
Two dogs are playing on a beach,A brown dog is running after a white dog on a rocky shore,4
Paper and scissors both cut,The piece of paper is being cut,2.8
A young boy isn't climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,3.9
A person is snowboarding down a railing in the snow,A man is skiing down a hill and over a red obstacle,2.7
A girl dressed in purple and blue is walking beside her bike at night,"A stone woman and bicycle are on top of two purple columns, between which people are walking",1.8
A man and a woman are eating happily,A man and a woman are eating,4
A lady is cutting up some meat,The woman is eating some cut pieces of raw meat,3.4
Two people are carrying gray baskets and blankets and walking near a building,Two people are walking with laden baskets and blankets,4.2
Two young men are playing outside near a golden statue,Two people are ignoring the nearby gold statue,3.2
A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,4.7
A person is peeling a banana,A person is not peeling a banana,3.6
An aircraft is taking off,A plane is taking off,4.7
A woman is riding a horse,A man is opening a package that doesn't contain headphones,1.1
A basketball player is on the court floor and another one is grabbing the ball,Two basketball players are scrambling for the ball on the court,4.3
A man is riding a horse,A horse is being ridden by a man,4.8
A bunny is playing with a stuffed bunny,A rabbit is playing with a toy rabbit,4.4
A little girl is looking at a woman in costume,The little girl is looking at a man in costume,3.8
A person is slicing some onions,A person is not slicing some onions,3.3
A man is not playing the drums,A man is playing the drums,4
A walker is in a hat store for men,A man in a hat is walking through a store,3.3
Someone is slicing a tomato,The person isn't slicing a vegetable,3.7
Two twin preteen boys are dueling with sticks,Two twin preteen boys are playing with cards,2.9
The cats are playing with each other,The cats are not playing with each other,3.9
There is no lady walking in body paint in front of a crowd ,"A young, topless woman is covered in paint",3.2
A climber on the wall is attached to the climbing boy with an artificially built rope,A fearful little boy is on a climbing wall,3.4
Three boys are jumping off a platform,Some boys are jumping off a platform,4.8
A man on a yellow dirt bike is taking a jump,A person on a yellow dirt bike is taking a jump,4.4
A young boy is playing a wind instrument,A kid is practicing with an instrument,4
Someone is playing the guitar,A shirtless woman is jumping over a log,1
A man is jumping rope outside,A woman is jumping rope outside,3
Some bamboo is being eaten by a panda bear,The panda is eating bamboo,4.9
A woman is showing a dog with very long hair at a dog show,A dog with very long hair is being showed by a woman at a dog show,5
A large crowd in warm clothing is walking away from a camera,"Two men, a woman, and two young boys are standing in front of a large gathering of people outside a building",1.5
A white dog is standing on a hill covered by grass,A white dog is standing on a grassy hillside,5
A man is eating a banana,There is no man eating a banana,3.3
A young couple is lying on a bed together,A young couple is lying on a couch together,3.6
A dog is running alongside a fence on a dirt track,A dog is sitting by a fence on a dirt track,3.8
A horse and its rider are leaping over a barrier,A horse and its rider are not leaping over a barrier,3.8
A person is not cutting garlic into pieces with a knife,A person is cutting garlic into pieces with a knife,3.3
A man is singing to a woman,A man is talking on the phone,2
There is no person kicking a soccer ball between somebody's feet,A person is kicking a soccer ball between their feet,3.2
A woman is grating carrots,There is no woman coating a pork chop,1.6
A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,3.2
The doctor is not helping the patient,The doctor is helping the patient,3.4
Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,2.3
An animated airplane is landing,An animated airplane is taking off,3.9
A tennis player with a green headband is hitting the ball,The tennis player with a green headband is hitting the ball,5
A man is putting a trumpet away,The man is playing a guitar,2
A person on a bike is jumping through the air and the sun is flaring beautifully through the bike frame,The person is flying through the air on a bicycle,3.5
There is no man playing guitar,A man is playing a guitar,3.7
There is no person with a blue backpack hiking in rocky area,A distant person with a blue backpack is hiking in rocky area,3.4
The man is training,Two men are fighting,1.7
The boy is playing the piano,The boy is not playing the piano,3
"The girl is wearing a shirt colored in white with a pink skirt, and is standing in front of a house",A girl in pink is twirling a ribbon,2.6
There is no person playing a piano,A monkey is teasing a dog at the zoo,1
There is no blonde lady looking at a tower,A woman dressed in elegant clothing is inside a crowd of people and is looking down,2.4
A man is dancing on the ceiling of a room,A man is idling on the floor,2.5
A young girl is using sign language,There is no girl communicating with sign language,4.1
An Asian woman in a crowd is carrying a black bag,A cramped black train is on the bag of a girl,2.1
A man is riding a horse,A woman is riding a horse,3.7
A young couple is lying on a bed together,A couple is lying on a bed together,4.7
Two teammates are lifting a football player in a red and white uniform,A football player in a red and white uniform is being lifted by two teammates,4.9
Three women are standing still,Three women are dancing,2.8
There is no cat walking on a hardwood floor,A baby is crawling happily,1
Vegetables are being mixed in a pot by a man,A person is stirring vegetables in a pot,4.3
A group of racing dogs are nosing a muzzle,A group of racing dogs is wearing striped uniforms and is running down a track,3.2
A man in a purple suit is standing by a purple case and is playing a guitar,The man is opening the guitar for donations and plays with the case,3.1
There is no man slicing potatoes,A man is slicing potatoes,3.6
The young boy is climbing the wall made of rock,A young kid is climbing a rock climbing wall which is indoors,4.3
A child is slowly waking up,A girl is waking up,4.27
There is no man sharpening a knife,A man is sharpening a knife,2.8
A man is putting away a stenograph machine,The man is operating a stenograph,3.4
A boy is throwing away a calendar,A boy is looking at a calendar,2.4
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,A man doing a pose is being watched by another man,3.9
There is no man mowing grass,A man is mowing grass,4.2
A yellow dog is running down a sandy path,A yellow dog is running down a path covered by sand,4.7
There is no man reading the email,Someone is reading the email,3.7
A small child in a pink sweater is climbing a concrete staircase,A small child is lying outdoors in a grassy area,2.2
There is no person riding a bike along a muddy trail,A person is riding a dirt bike down a dirt hill,2.6
The man is carelessly smearing butter on a slice of garlic bread,A man is removing the butter from a piece of bread which is big,3.2
The children are wearing black tights and hopping,Two balls are bouncing against some colorful kids,1.8
A dog is playing on the ground,A dog is rolling on the ground,4.2
A boy in a strange outfit is riding the bike,A woman is wearing paint and costume pieces and is riding a bike on a busy street,3.3
A man is singing and playing the guitar,A man is opening a package that contains headphones,1.5
There is no dog walking along a snowdrift,A dog is walking along a snowdrift,4.3
The young boy in the blue shirt is jumping into the water,A young girl is jumping into a still lake,2.2
A girl is wearing jeans and a pink shirt and is running,There is no girl wearing jeans and a pink shirt and running,4.2
The man is doing a wheelie with a motorcycle on ground which is mostly barren,A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,3.7
The black bird is sitting in a leafless tree,"A bird, which is black, is sitting on a dead tree",4.3
Five people are standing with three dogs in the green field beside the road,Five people are standing in the grass with three dogs,4.3
A few kittens are eating,Some kittens are eating,4.8
One girl is jumping off a rock and another is standing on it,A young girl in a winter coat is jumping off a boulder into the sand at a beach,2.8
Two people are playing ping pong,A ping pong player is meeting with two people,3.1
The child is splashing water in a small blue pool,The child is splashing water in a big red pool,3.4
A man is spreading butter on a piece of bread which is big,A man is carelessly smearing butter on a slice of garlic flavored bread ,4
The man is setting up the camera and taking sunset pictures at the beach,A man is taking pictures of a lake,3.4
The man is playing a guitar,The man is not playing a guitar,3.2
A black dog and a white dog are wrestling on the ground,Two dogs are fighting,4.2
Three children are running down hill,Three kids are running down hill,4.8
The woman is wearing glasses and a black headdress,A woman is wearing an Egyptian headdress,3.8
A man is sitting near a flower bed and is overlooking a tunnel,Two people are sitting on a bench,1.73
The black llama is curiously looking at the white dogs,A black sheep is standing near three white dogs,3
A boy is running away from the fishing line,A boy is running towards the fishing line,4
Some children are playing on a playground,Some children are not playing on a playground,3.6
A man on a bicycle is riding on one wheel only,A person on a bike is riding on one wheel only,4.6
There is no man playing a flute,Two kids are pushing an inflatable crocodile in a pool,1
A man is rinsing a large steak,A man is not rinsing a large steak,3.4
"There is no man running, jumping and kicking near a vending machine",Three men are jumping off a wall,2
Tambourines are being played by a group of children,A group of children is playing tambourines,4.9
A guy is cheerfully playing with a footbag,The man isn't playing the piano,1.5
A young lady in a bikini is standing on the beach,A girl in a black hat is wearing a bikini at the beach,4
A white man is walking a dog through brown water with difficulty,A white and brown dog is walking through the water with difficulty,3.6
A tan dog is jumping up and catching a tennis ball,A red dog is sitting and dropping a tennis ball from its mouth,3.1
A squirrel is running around in circles,A squirrel is spinning around in circles,4.4
A brown and black dog is running through the leaves,A brown and black dog is resting in the leaves,3.5
A man is riding a horse,A man is driving a vehicle,3.5
A black and tan dog is running through the low and green grass,A white and tan dog is running through the tall and green grass,4
A boy is hanging a rod for fishing and running in front of a fish,A boy is running away from the fishing line,2.7
A black dog with a red collar is amusedly putting its face in the water,A black dog with a red collar is putting its face in the water,4.2
There is no man breaking a slab of concrete with a sledge hammer,The man is using a sledgehammer to break a concrete block that is on another man,3.5
A guitar is being passionately played by a man,A man is playing a guitar,4.5
It is snowing on two playing dogs,A brown dog and a gray dog are playing in the snow,3.6
Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,3.9
The crowd is watching two racing cars that are leaving the starting line,People at a drag race are looking at the flames that are coming out of the cars,3.3
A man isn't sitting comfortably at the table,A man is sitting comfortably at a table,3.45
Some fish are swimming,One fish is swimming ,4.1
Four athletes are with a man in a crowded stadium,A person in a pink jacket is not running onto the field,1.2
There is no man wearing a straw hat who is smoking a cigarette,A man is wearing a straw hat and smoking a cigarette,3.9
Several people are in front of a colorful building,People are walking inside a building that has many murals on it,3.4
A dog is turning on the grass and pursuing a flying ball,A ball is being chased by a yellow dog,4.1
A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,3.8
The woman is penciling on eyeshadow,The woman is not penciling on eyeshadow,4.1
A person wearing jeans is sitting happily on the top of a horse saddle,A person wearing jeans is sitting on top of a horse saddle,4.6
The female wearing pink gloves and a brown jacket is smiling in the snow,A young Asian woman with pink gloves is standing in the snow,4
A person is piecing together an onion,A person is slicing a carrot into pieces,2.5
Two men are riding an orange raft on the shore,The orange rescue boat is not rushing across the water,3
There is no little girl playing a grand piano on stage,A little girl is playing a grand piano on stage,2.8
There is no person slicing a carrot into pieces,A person is cutting an onion into pieces,2.7
A man is playing with water,A man is doing a magic trick,2.1
Two people wearing helmets are riding over the yellow and white flowers,Two adults are standing on a scooter in a field of flowers,3.6
A woman is pouring eggs into a frying pan,A woman is pouring eggs into a pan,4.8
The white dogs are looking curiously at the black llama,The white dogs are looking at the black llama,4.6
There is no woman playing an electric guitar,A man is playing a guitar,3.6
"The player in purple, white and black is playing near the end of the field",A sports uniform is being worn by a man who is running down the field,3.4
Nobody is on a motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,3.6
There is no bicyclist jumping on a pyramid-shaped ramp,The tan dog is watching a brown dog that is swimming in a pond,1
A man is singing and playing a guitar,A guitar is being played by a man,4.5
The boy is shortening the grass by the curb with scissors,A boy is cutting grass with scissors,4.5
A brown dog is running through a snowy trail,A dog is running on a snowy road,4.3
A person is removing chopped vegetables from a pot on the stove,A person is dropping chopped vegetables into a pot on the stove,3.5
The man is dancing,A few women are dancing,2.9
A woman is speaking on her cell phone and is keeping a purse and a yellow bag on the near ledge,A woman is silent and is leaving a purse and a yellow bag on the near ledge,3.3
A woman is collecting tap water in a mug,A woman is collecting the water from a tap in a mug,4.8
A man is getting into a car in a garage,A man is getting into an automobile,4.2
The man is playing a guitar,A man is playing a trumpet brightly,2.4
A brown and white dog is leaping in the air with a tennis ball in its mouth,A brown and white dog is jumping in the air with a tennis ball in its mouth,5
Two men and a girl in front of a wood panel wall are making funny faces,Three friends are making faces for the camera,3.2
The man is playing the flute,A man is playing a flute,4.8
The woman is erasing the drawing on the board,The man is erasing the other man's work from the board,3.6
The girl is wearing an orange shirt and a striped tie,A girl in an orange shirt and clown makeup is standing in a park and others are looking on,3
An oriental man and two women are in front of a camera,A group of people is standing together and looking at the camera,4
Two males are standing on a cliff edge and no one is jumping into the water,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,3.3
A family is purchasing something at the vending machine,A family is buying something at the vending machine,5
"A woman, who is young and Asian, with gloves colored in pink, is standing in the snow",A female wearing pink gloves and a brown jacket is smiling in the snow,3.9
One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,A baby is sneezing and frightening another baby,1
A man is spilling orange juice and standing still,A man is drinking orange juice and walking on a sunny day,2.6
A man is passionately playing a guitar in front of an audience,A woman is peeling a potato,1
A woman is peeling food,A man is passionately playing a guitar in front of an audience,1.1
A dog is running on the road,There is no man running on the road,2.3
A black and white dog is holding a baseball in its mouth,A baseball is being held in its mouth by a black and white dog,4.8
A large white crane is flying far above the water,A large white crane is flying near the water,3.7
Two kids are doing martial arts on a blue mat,A tan dog is running through the brush,1
The kid is swimming through the blue ocean,The boy is wading through the blue ocean,4.2
An animal is swimming in a body of water,A brown dog is standing in a lake,3.5
A woman is cooking a breaded pork chop,The woman is frying a chop of breaded pork,4.735
Two men are walking two dogs with golden coats in the snow,Two people are walking two dogs with golden coats in the snow,4.6
Not everyone is able to walk a lion,A lion is slowly walking,2.5
A man is playing a guitar,Someone is putting the guitar away,3.2
A person is singing and playing a guitar,A person is singing and playing the guitar,4.9
A man is breaking tiles with his hands,Tiles are being broken with his hands by a man,4.9
Orange juice is being drunk by a man who is walking on a sunny day,A man is drinking orange juice and walking on a sunny day,5
A bunch of guys is on the shore,A bunch of people is on the shore,4.3
There is no lion walking,A lion is slowly walking,3.3
A man is mowing a lawn,A man is not mowing a lawn,4.4
A girl is standing in a group and is wearing a black shirt and pink beads,A girl is standing alone and wears a black shirt and pink beads,3.5
A man is sitting comfortably at a table,A laughing man is dyeing a shirt black on the table which you cannot sit at ,2.4
